Satellite Name,NORAD ID,Inclination (°),RAAN (°),Eccentricity,Arg. of Perigee (°),Mean Anomaly (°),Mean Motion (revs/day),Epoch
IRIDIUM 26,24903,1.5080011256373926,2.867340341577664,0.0002152,1.7465108398979297,4.539187741404529,0.06269936979703272,2025-02-09T08:17:07Z
IRIDIUM 22,24907,1.5080098522836527,2.9253184339996636,0.0002079,1.6415729186217707,4.644116936034427,0.06264849624186389,2025-02-09T14:07:18Z
IRIDIUM 7,24793,1.5078492819924691,4.020107623239642,0.0002063,1.7146184384762373,4.571062689533701,0.06264658021941105,2025-02-09T13:52:02Z
IRIDIUM 5,24795,1.5078684806142408,2.4868062047653403,0.0111334,4.104366883538173,2.162620022853654,0.06511811117166325,2025-02-09T14:37:14Z
IRIDIUM 4,24796,1.5078510273217212,3.967100228527323,0.000191,1.6197912095568814,4.665865483843529,0.06268629496837402,2025-02-09T13:43:44Z
DELTA 2 R/B,24797,1.5165218230456288,0.8554801141820286,0.0216852,6.147351567484624,2.0589945891749943,0.06313503984484663,2025-02-09T12:57:07Z
IRIDIUM 7,24793,1.5078492819924691,4.020107623239642,0.0002063,1.7146184384762373,4.571062689533701,0.06264658021941105,2025-02-09T13:52:02Z
IRIDIUM 5,24795,1.5078684806142408,2.4868062047653403,0.0111334,4.104366883538173,2.162620022853654,0.06511811117166325,2025-02-09T14:37:14Z
IRIDIUM 4,24796,1.5078510273217212,3.967100228527323,0.000191,1.6197912095568814,4.665865483843529,0.06268629496837402,2025-02-09T13:43:44Z
DELTA 2 R/B,24797,1.5165218230456288,0.8554801141820286,0.0216852,6.147351567484624,2.0589945891749943,0.06313503984484663,2025-02-09T12:57:07Z
IRIDIUM 29,24944,1.5079435297720767,3.446019963039652,0.0001912,1.5218764931907476,4.763780200209663,0.06266906472893248,2025-02-09T09:02:26Z
IRIDIUM 33,24946,1.5077986674441612,3.4320468570481855,0.0009442,2.214559276063753,4.072226645362698,0.06260306135081044,2025-02-09T11:59:14Z
IRIDIUM 28,24948,1.5079609830645968,3.4040674838094644,0.0002321,1.7634597322640466,4.5222702649649476,0.06270991080031661,2025-02-09T08:43:04Z
IRIDIUM 33 DEB,33773,1.5080534855149526,3.3200420976307017,0.0012878,1.546065011294137,4.741789051634535,0.06293210609302735,2025-02-09T09:10:34Z
IRIDIUM 33 DEB,33775,1.5074338936304945,3.144114654358925,0.0015452,1.7122186107547452,5.503251769670133,0.06283642775429826,2025-02-09T09:20:34Z
IRIDIUM 33 DEB,33776,1.5080622121612126,3.6506353832264593,0.001607,2.087422512031478,5.351296423674498,0.06272192320342639,2025-02-09T12:57:33Z
IRIDIUM 33 DEB,33777,1.5077009290060497,2.9317918601953106,0.000859,3.6924238015069597,2.591967528185755,0.06338284688439931,2025-02-09T14:22:03Z
IRIDIUM 33 DEB,33850,1.5070464305365516,2.8231555862341757,0.0013079,1.7747397952196862,5.760452214890277,0.06287073049905019,2025-02-09T09:28:28Z
IRIDIUM 33 DEB,33853,1.5009866473736275,2.1612569207078463,0.0217278,1.6588796034845465,0.5529360149950716,0.060979558436799794,2025-02-09T15:24:38Z
IRIDIUM 33 DEB,33859,1.5065612290044972,2.542682920767939,0.0022155,6.232473020433639,0.05261644095987305,0.06479578071107873,2025-02-09T07:33:07Z
IRIDIUM 33 DEB,33860,1.507810884748925,2.8303393614353847,0.0009438,5.2719275759400555,2.2048744440444366,0.06376739903094912,2025-02-09T08:28:19Z
IRIDIUM 33 DEB,33862,1.5082384904156638,2.9999330048516732,0.0054179,0.6862076113481066,5.792674483540596,0.0638536912943936,2025-02-09T14:57:52Z
IRIDIUM 33 DEB,33864,1.505421529002945,1.0979656884786089,0.0007759,1.6737794793088219,5.703748212822233,0.06591521809451385,2025-02-09T02:46:13Z
IRIDIUM 33 DEB,33866,1.5062139084833503,3.8792281366771646,0.0112253,1.1106175802263156,6.240141997166902,0.06207697617915974,2025-02-09T13:18:33Z
IRIDIUM 33 DEB,33867,1.507873716601997,2.375946381337165,0.0015279,1.3272565736301118,4.961037312270062,0.06524006264975431,2025-02-09T13:10:03Z
IRIDIUM 33 DEB,33870,1.5076066812264417,3.3046221136893315,0.002258,2.0898118677774584,0.9373552547223346,0.06298919965258444,2025-02-09T04:13:16Z
IRIDIUM 33 DEB,33874,1.5057164896465318,2.5486467108220037,0.0024404,4.708442790945931,2.609572664350622,0.06503120402872328,2025-02-09T06:23:52Z
IRIDIUM 33 DEB,33881,1.5077532888836094,4.169987772754656,0.0059363,2.0423616014034884,5.1945763288209195,0.06315384572390365,2025-02-09T13:37:15Z
IRIDIUM 33 DEB,33884,1.5074373842889983,2.5717601061061646,0.0011116,4.985538244309558,1.4840831335680624,0.06407718559203338,2025-02-09T13:15:19Z
IRIDIUM 33 DEB,33886,1.5077323449325855,3.4213584607089724,0.0014688,2.825564140601928,4.667162263477761,0.06263724270791288,2025-02-09T09:06:58Z
IRIDIUM 33 DEB,33887,1.506365752128274,2.3616311908123073,0.0007402,2.590381023895692,3.8878099206092207,0.06269289890156449,2025-02-09T11:59:26Z
IRIDIUM 33 DEB,33953,1.5078161207366811,3.249876371042025,0.0018444,0.8348485770942037,0.33367728238403194,0.06334158171582857,2025-02-09T09:58:40Z
IRIDIUM 33 DEB,33960,1.5055367207335768,1.26385050723441,0.000522,1.6391416749737424,5.865899772308018,0.06429082881504258,2025-02-09T04:04:21Z
IRIDIUM 33 DEB,33966,1.507926076479557,3.0938334639382203,0.0008796,2.4968662825738357,4.3021214144353905,0.06317026006555311,2025-02-09T08:29:32Z
